canonical_key,artist,track,old_watch_url,old_video_id,new_watch_url,new_video_id,status,resolver_reason
sp:0sZ7125n1GTxvrq0anThNy,Ice Nine Kills,The Shower Scene,https://www.youtube.com/watch?v=m9sId7TZ0r0,m9sId7TZ0r0,https://www.youtube.com/watch?v=-dk3oBAB84o,-dk3oBAB84o,unplayable_replaced_by_resolver,"cache hit: Ice Nine Kills - The Shower Scene (Official Music Video) - Censored | Ice Nine Kills | views=417,930"
sp:7yCF65vpc7sUwPjftI0iFb,Ace of Base,Happy Nation,https://www.youtube.com/watch?v=HWjCStB6k4o,HWjCStB6k4o,https://www.youtube.com/watch?v=HWjCStB6k4o,HWjCStB6k4o,unplayable_resolver_returned_unplayable,"cache hit: Ace of Base - Happy Nation (Official Music Video) | Ace of Base | views=244,363,680"
sp:6sQH5GFuqhvemSdP2oOfRi,Soulja Boy,Pretty Boy Swag,https://www.youtube.com/watch?v=KTJVlJ25S8c,KTJVlJ25S8c,https://www.youtube.com/watch?v=KTJVlJ25S8c,KTJVlJ25S8c,kept_direct_playable,
sp:7r9kOxiNDnkAg5QKqtyjVk,Lauren Daigle,Rescue,https://www.youtube.com/watch?v=gYR0xP1j4PY,gYR0xP1j4PY,https://www.youtube.com/watch?v=gYR0xP1j4PY,gYR0xP1j4PY,unplayable_resolver_returned_unplayable,reranked resolver candidate: Lauren Daigle - Rescue (Official Music Video) | Lauren Daigle
sp:6U1iuA5QfzYRPJxvdcxqtf,Noah Cyrus,Lonely,https://www.youtube.com/watch?v=JhvyWCyXuqg,JhvyWCyXuqg,https://www.youtube.com/watch?v=JhvyWCyXuqg,JhvyWCyXuqg,kept_direct_playable,
sp:3iXhLi33EpUfcOwasC8un1,Angèle,Ta reine,https://www.youtube.com/watch?v=XQKYEs4llzg,XQKYEs4llzg,https://www.youtube.com/watch?v=XQKYEs4llzg,XQKYEs4llzg,kept_direct_playable,
sp:0wokCRaKD0zPNhMRXAgVsr,Duran Duran,Ordinary World,https://www.youtube.com/watch?v=FqIACCH20JU,FqIACCH20JU,https://www.youtube.com/watch?v=FqIACCH20JU,FqIACCH20JU,unplayable_resolver_returned_unplayable,"cache hit: Duran Duran - Ordinary World (Official Music Video) | Duran Duran | views=182,469,725"
sp:7zrpoAJte9o12TzawqgdD0,Andrea Bocelli,Con te partirò,https://www.youtube.com/watch?v=TdWEhMOrRpQ,TdWEhMOrRpQ,https://www.youtube.com/watch?v=TdWEhMOrRpQ,TdWEhMOrRpQ,kept_direct_playable,
sp:7eWGnKg4B44sbBPpQp4y2c,Thundercat,Dragonball Durag,https://www.youtube.com/watch?v=ormQQG2UhtQ,ormQQG2UhtQ,https://www.youtube.com/watch?v=ormQQG2UhtQ,ormQQG2UhtQ,unplayable_resolver_returned_unplayable,reranked resolver candidate: Thundercat - 'Dragonball Durag' (Official Video) | Thundercat
sp:25GC50HslaaruyrKjdu0lP,Bullet For My Valentine,Your Betrayal,https://www.youtube.com/watch?v=IHgFJEJgUrg,IHgFJEJgUrg,https://www.youtube.com/watch?v=IHgFJEJgUrg,IHgFJEJgUrg,unplayable_resolver_returned_unplayable,"cache hit: Bullet For My Valentine - Your Betrayal (Official Video) | Bullet For My Valentine | views=109,851,430"
